hid1,hid2,hero1,hero2,win_no,lose_no,game_no,win_rate
8,56,Juggernaut,Clinkz,3.0,1.0,4.0,0.75
41,63,Faceless Void,Weaver,3.0,1.0,4.0,0.75
41,76,Faceless Void,Outworld Devourer,9.0,3.0,12.0,0.75
74,90,Invoker,Keeper of the Light,6.0,2.0,8.0,0.75
53,101,Nature's Prophet,Skywrath Mage,3.0,1.0,4.0,0.75
7,129,Earthshaker,Mars,3.0,1.0,4.0,0.75
41,112,Faceless Void,Winter Wyvern,3.0,1.0,4.0,0.75
42,48,Wraith King,Luna,3.0,1.0,4.0,0.75
106,123,Ember Spirit,Hoodwink,3.0,1.0,4.0,0.75
42,57,Wraith King,Omniknight,3.0,1.0,4.0,0.75
42,64,Wraith King,Jakiro,12.0,4.0,16.0,0.75
8,102,Juggernaut,Abaddon,3.0,1.0,4.0,0.75
8,100,Juggernaut,Tusk,6.0,2.0,8.0,0.75
8,42,Juggernaut,Wraith King,3.0,1.0,4.0,0.75
40,99,Venomancer,Bristleback,3.0,1.0,4.0,0.75
40,98,Venomancer,Timbersaw,3.0,1.0,4.0,0.75
52,81,Leshrac,Chaos Knight,3.0,1.0,4.0,0.75
54,123,Lifestealer,Hoodwink,3.0,1.0,4.0,0.75
9,108,Mirana,Underlord,3.0,1.0,4.0,0.75
9,104,Mirana,Legion Commander,6.0,2.0,8.0,0.75
54,112,Lifestealer,Winter Wyvern,3.0,1.0,4.0,0.75
9,99,Mirana,Bristleback,6.0,2.0,8.0,0.75
44,94,Phantom Assassin,Medusa,3.0,1.0,4.0,0.75
39,109,Queen of Pain,Terrorblade,3.0,1.0,4.0,0.75
39,111,Queen of Pain,Oracle,3.0,1.0,4.0,0.75
44,57,Phantom Assassin,Omniknight,3.0,1.0,4.0,0.75
39,126,Queen of Pain,Void Spirit,3.0,1.0,4.0,0.75
40,44,Venomancer,Phantom Assassin,6.0,2.0,8.0,0.75
44,55,Phantom Assassin,Dark Seer,3.0,1.0,4.0,0.75
44,51,Phantom Assassin,Clockwerk,9.0,3.0,12.0,0.75
40,75,Venomancer,Silencer,3.0,1.0,4.0,0.75
9,51,Mirana,Clockwerk,3.0,1.0,4.0,0.75
83,114,Treant Protector,Monkey King,6.0,2.0,8.0,0.75
42,90,Wraith King,Keeper of the Light,3.0,1.0,4.0,0.75
33,93,Enigma,Slark,6.0,2.0,8.0,0.75
34,63,Tinker,Weaver,3.0,1.0,4.0,0.75
12,71,Phantom Lancer,Spirit Breaker,6.0,2.0,8.0,0.75
33,49,Enigma,Dragon Knight,3.0,1.0,4.0,0.75
6,97,Drow Ranger,Magnus,6.0,2.0,8.0,0.75
6,60,Drow Ranger,Night Stalker,3.0,1.0,4.0,0.75
3,136,Bane,Marci,6.0,2.0,8.0,0.75
12,99,Phantom Lancer,Bristleback,3.0,1.0,4.0,0.75
75,100,Silencer,Tusk,3.0,1.0,4.0,0.75
12,68,Phantom Lancer,Ancient Apparition,3.0,1.0,4.0,0.75
50,74,Dazzle,Invoker,6.0,2.0,8.0,0.75
34,74,Tinker,Invoker,3.0,1.0,4.0,0.75
112,128,Winter Wyvern,Snapfire,3.0,1.0,4.0,0.75
59,105,Huskar,Techies,3.0,1.0,4.0,0.75
50,67,Dazzle,Spectre,6.0,2.0,8.0,0.75
49,91,Dragon Knight,Io,3.0,1.0,4.0,0.75
6,55,Drow Ranger,Dark Seer,3.0,1.0,4.0,0.75
12,101,Phantom Lancer,Skywrath Mage,3.0,1.0,4.0,0.75
12,43,Phantom Lancer,Death Prophet,3.0,1.0,4.0,0.75
75,81,Silencer,Chaos Knight,3.0,1.0,4.0,0.75
33,114,Enigma,Monkey King,3.0,1.0,4.0,0.75
34,35,Tinker,Sniper,6.0,2.0,8.0,0.75
75,94,Silencer,Medusa,6.0,2.0,8.0,0.75
50,86,Dazzle,Rubick,6.0,2.0,8.0,0.75
34,50,Tinker,Dazzle,6.0,2.0,8.0,0.75
6,113,Drow Ranger,Arc Warden,3.0,1.0,4.0,0.75
50,62,Dazzle,Bounty Hunter,3.0,1.0,4.0,0.75
11,97,Shadow Fiend,Magnus,6.0,2.0,8.0,0.75
84,101,Ogre Magi,Skywrath Mage,6.0,2.0,8.0,0.75
1,27,Anti-Mage,Shadow Shaman,14.0,5.0,19.0,0.7368421052631579
14,40,Pudge,Venomancer,11.0,4.0,15.0,0.7333333333333333
54,74,Lifestealer,Invoker,8.0,3.0,11.0,0.7272727272727273
25,30,Lina,Witch Doctor,8.0,3.0,11.0,0.7272727272727273
14,112,Pudge,Winter Wyvern,8.0,3.0,11.0,0.7272727272727273
39,136,Queen of Pain,Marci,8.0,3.0,11.0,0.7272727272727273
93,97,Slark,Magnus,8.0,3.0,11.0,0.7272727272727273
48,87,Luna,Disruptor,8.0,3.0,11.0,0.7272727272727273
6,7,Drow Ranger,Earthshaker,8.0,3.0,11.0,0.7272727272727273
1,99,Anti-Mage,Bristleback,8.0,3.0,11.0,0.7272727272727273
42,123,Wraith King,Hoodwink,8.0,3.0,11.0,0.7272727272727273
47,84,Viper,Ogre Magi,8.0,3.0,11.0,0.7272727272727273
1,30,Anti-Mage,Witch Doctor,8.0,3.0,11.0,0.7272727272727273
112,126,Winter Wyvern,Void Spirit,8.0,3.0,11.0,0.7272727272727273
22,64,Zeus,Jakiro,8.0,3.0,11.0,0.7272727272727273
64,70,Jakiro,Ursa,13.0,5.0,18.0,0.7222222222222222
8,126,Juggernaut,Void Spirit,13.0,5.0,18.0,0.7222222222222222
7,26,Earthshaker,Lion,13.0,5.0,18.0,0.7222222222222222
114,128,Monkey King,Snapfire,5.0,2.0,7.0,0.7142857142857143
3,23,Bane,Kunkka,5.0,2.0,7.0,0.7142857142857143
7,128,Earthshaker,Snapfire,5.0,2.0,7.0,0.7142857142857143
23,101,Kunkka,Skywrath Mage,10.0,4.0,14.0,0.7142857142857143
16,22,Sand King,Zeus,5.0,2.0,7.0,0.7142857142857143
1,5,Anti-Mage,Crystal Maiden,5.0,2.0,7.0,0.7142857142857143
25,136,Lina,Marci,5.0,2.0,7.0,0.7142857142857143
6,13,Drow Ranger,Puck,5.0,2.0,7.0,0.7142857142857143
16,48,Sand King,Luna,5.0,2.0,7.0,0.7142857142857143
64,126,Jakiro,Void Spirit,5.0,2.0,7.0,0.7142857142857143
52,128,Leshrac,Snapfire,5.0,2.0,7.0,0.7142857142857143
4,128,Bloodseeker,Snapfire,5.0,2.0,7.0,0.7142857142857143
44,98,Phantom Assassin,Timbersaw,5.0,2.0,7.0,0.7142857142857143
16,27,Sand King,Shadow Shaman,5.0,2.0,7.0,0.7142857142857143
26,70,Lion,Ursa,15.0,6.0,21.0,0.7142857142857143
26,89,Lion,Naga Siren,5.0,2.0,7.0,0.7142857142857143
22,90,Zeus,Keeper of the Light,5.0,2.0,7.0,0.7142857142857143
98,121,Timbersaw,Grimstroke,5.0,2.0,7.0,0.7142857142857143
17,121,Storm Spirit,Grimstroke,5.0,2.0,7.0,0.7142857142857143
48,106,Luna,Ember Spirit,5.0,2.0,7.0,0.7142857142857143
27,43,Shadow Shaman,Death Prophet,5.0,2.0,7.0,0.7142857142857143
14,120,Pudge,Pangolier,5.0,2.0,7.0,0.7142857142857143
74,120,Invoker,Pangolier,5.0,2.0,7.0,0.7142857142857143
63,86,Weaver,Rubick,5.0,2.0,7.0,0.7142857142857143
5,119,Crystal Maiden,Dark Willow,5.0,2.0,7.0,0.7142857142857143
16,68,Sand King,Ancient Apparition,5.0,2.0,7.0,0.7142857142857143
2,35,Axe,Sniper,10.0,4.0,14.0,0.7142857142857143
13,16,Puck,Sand King,5.0,2.0,7.0,0.7142857142857143
5,97,Crystal Maiden,Magnus,5.0,2.0,7.0,0.7142857142857143
97,123,Magnus,Hoodwink,5.0,2.0,7.0,0.7142857142857143
8,33,Juggernaut,Enigma,5.0,2.0,7.0,0.7142857142857143
44,46,Phantom Assassin,Templar Assassin,5.0,2.0,7.0,0.7142857142857143
5,96,Crystal Maiden,Centaur Warrunner,5.0,2.0,7.0,0.7142857142857143
31,71,Lich,Spirit Breaker,5.0,2.0,7.0,0.7142857142857143
31,70,Lich,Ursa,5.0,2.0,7.0,0.7142857142857143
23,50,Kunkka,Dazzle,5.0,2.0,7.0,0.7142857142857143
64,86,Jakiro,Rubick,5.0,2.0,7.0,0.7142857142857143
8,27,Juggernaut,Shadow Shaman,15.0,6.0,21.0,0.7142857142857143
40,42,Venomancer,Wraith King,5.0,2.0,7.0,0.7142857142857143
16,50,Sand King,Dazzle,5.0,2.0,7.0,0.7142857142857143
41,129,Faceless Void,Mars,5.0,2.0,7.0,0.7142857142857143
8,110,Juggernaut,Phoenix,5.0,2.0,7.0,0.7142857142857143
44,76,Phantom Assassin,Outworld Devourer,15.0,6.0,21.0,0.7142857142857143
63,96,Weaver,Centaur Warrunner,5.0,2.0,7.0,0.7142857142857143
15,27,Razor,Shadow Shaman,5.0,2.0,7.0,0.7142857142857143
60,67,Night Stalker,Spectre,5.0,2.0,7.0,0.7142857142857143
48,96,Luna,Centaur Warrunner,5.0,2.0,7.0,0.7142857142857143
30,44,Witch Doctor,Phantom Assassin,15.0,6.0,21.0,0.7142857142857143
10,62,Morphling,Bounty Hunter,5.0,2.0,7.0,0.7142857142857143
47,63,Viper,Weaver,5.0,2.0,7.0,0.7142857142857143
50,96,Dazzle,Centaur Warrunner,5.0,2.0,7.0,0.7142857142857143
27,100,Shadow Shaman,Tusk,5.0,2.0,7.0,0.7142857142857143
46,104,Templar Assassin,Legion Commander,5.0,2.0,7.0,0.7142857142857143
28,86,Slardar,Rubick,5.0,2.0,7.0,0.7142857142857143
50,120,Dazzle,Pangolier,5.0,2.0,7.0,0.7142857142857143
11,41,Shadow Fiend,Faceless Void,10.0,4.0,14.0,0.7142857142857143
7,89,Earthshaker,Naga Siren,5.0,2.0,7.0,0.7142857142857143
50,114,Dazzle,Monkey King,5.0,2.0,7.0,0.7142857142857143
19,84,Tiny,Ogre Magi,5.0,2.0,7.0,0.7142857142857143
48,63,Luna,Weaver,5.0,2.0,7.0,0.7142857142857143
62,101,Bounty Hunter,Skywrath Mage,5.0,2.0,7.0,0.7142857142857143
34,128,Tinker,Snapfire,5.0,2.0,7.0,0.7142857142857143
11,96,Shadow Fiend,Centaur Warrunner,5.0,2.0,7.0,0.7142857142857143
62,70,Bounty Hunter,Ursa,5.0,2.0,7.0,0.7142857142857143
35,84,Sniper,Ogre Magi,27.0,11.0,38.0,0.7105263157894737
8,26,Juggernaut,Lion,27.0,11.0,38.0,0.7105263157894737
8,39,Juggernaut,Queen of Pain,17.0,7.0,24.0,0.7083333333333334
10,14,Morphling,Pudge,12.0,5.0,17.0,0.7058823529411765
70,128,Ursa,Snapfire,7.0,3.0,10.0,0.7
7,11,Earthshaker,Shadow Fiend,7.0,3.0,10.0,0.7
75,129,Silencer,Mars,7.0,3.0,10.0,0.7
54,86,Lifestealer,Rubick,7.0,3.0,10.0,0.7
74,87,Invoker,Disruptor,7.0,3.0,10.0,0.7
74,86,Invoker,Rubick,14.0,6.0,20.0,0.7
30,88,Witch Doctor,Nyx Assassin,7.0,3.0,10.0,0.7
22,101,Zeus,Skywrath Mage,7.0,3.0,10.0,0.7
1,136,Anti-Mage,Marci,7.0,3.0,10.0,0.7
63,136,Weaver,Marci,7.0,3.0,10.0,0.7
3,39,Bane,Queen of Pain,7.0,3.0,10.0,0.7
39,83,Queen of Pain,Treant Protector,7.0,3.0,10.0,0.7
75,84,Silencer,Ogre Magi,7.0,3.0,10.0,0.7
8,60,Juggernaut,Night Stalker,7.0,3.0,10.0,0.7
86,98,Rubick,Timbersaw,7.0,3.0,10.0,0.7
25,75,Lina,Silencer,7.0,3.0,10.0,0.7
14,34,Pudge,Tinker,14.0,6.0,20.0,0.7
40,94,Venomancer,Medusa,7.0,3.0,10.0,0.7
14,100,Pudge,Tusk,7.0,3.0,10.0,0.7
27,98,Shadow Shaman,Timbersaw,7.0,3.0,10.0,0.7
50,94,Dazzle,Medusa,7.0,3.0,10.0,0.7
48,83,Luna,Treant Protector,7.0,3.0,10.0,0.7
54,71,Lifestealer,Spirit Breaker,16.0,7.0,23.0,0.6956521739130435
71,99,Spirit Breaker,Bristleback,9.0,4.0,13.0,0.6923076923076923
42,99,Wraith King,Bristleback,9.0,4.0,13.0,0.6923076923076923
74,76,Invoker,Outworld Devourer,9.0,4.0,13.0,0.6923076923076923
14,50,Pudge,Dazzle,9.0,4.0,13.0,0.6923076923076923
86,94,Rubick,Medusa,9.0,4.0,13.0,0.6923076923076923
42,104,Wraith King,Legion Commander,9.0,4.0,13.0,0.6923076923076923
16,35,Sand King,Sniper,9.0,4.0,13.0,0.6923076923076923
64,74,Jakiro,Invoker,11.0,5.0,16.0,0.6875
8,98,Juggernaut,Timbersaw,11.0,5.0,16.0,0.6875
6,14,Drow Ranger,Pudge,22.0,10.0,32.0,0.6875
27,39,Shadow Shaman,Queen of Pain,11.0,5.0,16.0,0.6875
44,50,Phantom Assassin,Dazzle,13.0,6.0,19.0,0.6842105263157895
30,39,Witch Doctor,Queen of Pain,13.0,6.0,19.0,0.6842105263157895
2,26,Axe,Lion,13.0,6.0,19.0,0.6842105263157895
7,14,Earthshaker,Pudge,13.0,6.0,19.0,0.6842105263157895
27,74,Shadow Shaman,Invoker,15.0,7.0,22.0,0.6818181818181818
22,59,Zeus,Huskar,2.0,1.0,3.0,0.6666666666666666
22,80,Zeus,Lone Druid,2.0,1.0,3.0,0.6666666666666666
22,63,Zeus,Weaver,4.0,2.0,6.0,0.6666666666666666
47,58,Viper,Enchantress,2.0,1.0,3.0,0.6666666666666666
45,62,Pugna,Bounty Hunter,2.0,1.0,3.0,0.6666666666666666
76,86,Outworld Devourer,Rubick,8.0,4.0,12.0,0.6666666666666666
47,113,Viper,Arc Warden,2.0,1.0,3.0,0.6666666666666666
51,114,Clockwerk,Monkey King,4.0,2.0,6.0,0.6666666666666666
74,107,Invoker,Earth Spirit,2.0,1.0,3.0,0.6666666666666666
19,97,Tiny,Magnus,2.0,1.0,3.0,0.6666666666666666
90,110,Keeper of the Light,Phoenix,2.0,1.0,3.0,0.6666666666666666
45,99,Pugna,Bristleback,4.0,2.0,6.0,0.6666666666666666
20,72,Vengeful Spirit,Gyrocopter,2.0,1.0,3.0,0.6666666666666666
65,121,Batrider,Grimstroke,2.0,1.0,3.0,0.6666666666666666
22,54,Zeus,Lifestealer,6.0,3.0,9.0,0.6666666666666666
47,53,Viper,Nature's Prophet,2.0,1.0,3.0,0.6666666666666666
68,99,Ancient Apparition,Bristleback,4.0,2.0,6.0,0.6666666666666666
50,100,Dazzle,Tusk,2.0,1.0,3.0,0.6666666666666666
51,102,Clockwerk,Abaddon,2.0,1.0,3.0,0.6666666666666666
19,49,Tiny,Dragon Knight,2.0,1.0,3.0,0.6666666666666666
19,62,Tiny,Bounty Hunter,2.0,1.0,3.0,0.6666666666666666
50,106,Dazzle,Ember Spirit,8.0,4.0,12.0,0.6666666666666666
20,97,Vengeful Spirit,Magnus,2.0,1.0,3.0,0.6666666666666666
19,54,Tiny,Lifestealer,2.0,1.0,3.0,0.6666666666666666
42,135,Wraith King,Dawnbreaker,2.0,1.0,3.0,0.6666666666666666
69,120,Doom,Pangolier,2.0,1.0,3.0,0.6666666666666666
22,66,Zeus,Chen,2.0,1.0,3.0,0.6666666666666666
45,102,Pugna,Abaddon,2.0,1.0,3.0,0.6666666666666666
45,84,Pugna,Ogre Magi,2.0,1.0,3.0,0.6666666666666666
47,87,Viper,Disruptor,2.0,1.0,3.0,0.6666666666666666
18,129,Sven,Mars,2.0,1.0,3.0,0.6666666666666666
75,107,Silencer,Earth Spirit,2.0,1.0,3.0,0.6666666666666666
49,97,Dragon Knight,Magnus,2.0,1.0,3.0,0.6666666666666666
50,112,Dazzle,Winter Wyvern,2.0,1.0,3.0,0.6666666666666666
22,74,Zeus,Invoker,4.0,2.0,6.0,0.6666666666666666
68,85,Ancient Apparition,Undying,4.0,2.0,6.0,0.6666666666666666
76,91,Outworld Devourer,Io,2.0,1.0,3.0,0.6666666666666666
51,97,Clockwerk,Magnus,2.0,1.0,3.0,0.6666666666666666
68,81,Ancient Apparition,Chaos Knight,2.0,1.0,3.0,0.6666666666666666
74,91,Invoker,Io,2.0,1.0,3.0,0.6666666666666666
21,62,Windranger,Bounty Hunter,4.0,2.0,6.0,0.6666666666666666
69,86,Doom,Rubick,4.0,2.0,6.0,0.6666666666666666
20,25,Vengeful Spirit,Lina,4.0,2.0,6.0,0.6666666666666666
93,108,Slark,Underlord,2.0,1.0,3.0,0.6666666666666666
49,73,Dragon Knight,Alchemist,2.0,1.0,3.0,0.6666666666666666
46,96,Templar Assassin,Centaur Warrunner,2.0,1.0,3.0,0.6666666666666666
49,54,Dragon Knight,Lifestealer,2.0,1.0,3.0,0.6666666666666666
75,98,Silencer,Timbersaw,4.0,2.0,6.0,0.6666666666666666
20,35,Vengeful Spirit,Sniper,2.0,1.0,3.0,0.6666666666666666
76,100,Outworld Devourer,Tusk,2.0,1.0,3.0,0.6666666666666666
69,70,Doom,Ursa,2.0,1.0,3.0,0.6666666666666666
46,63,Templar Assassin,Weaver,2.0,1.0,3.0,0.6666666666666666
51,53,Clockwerk,Nature's Prophet,2.0,1.0,3.0,0.6666666666666666
50,98,Dazzle,Timbersaw,2.0,1.0,3.0,0.6666666666666666
52,58,Leshrac,Enchantress,2.0,1.0,3.0,0.6666666666666666
21,75,Windranger,Silencer,8.0,4.0,12.0,0.6666666666666666
93,105,Slark,Techies,4.0,2.0,6.0,0.6666666666666666
76,98,Outworld Devourer,Timbersaw,2.0,1.0,3.0,0.6666666666666666
20,42,Vengeful Spirit,Wraith King,4.0,2.0,6.0,0.6666666666666666
46,53,Templar Assassin,Nature's Prophet,2.0,1.0,3.0,0.6666666666666666
74,102,Invoker,Abaddon,2.0,1.0,3.0,0.6666666666666666
67,129,Spectre,Mars,2.0,1.0,3.0,0.6666666666666666
75,90,Silencer,Keeper of the Light,2.0,1.0,3.0,0.6666666666666666
76,97,Outworld Devourer,Magnus,2.0,1.0,3.0,0.6666666666666666
50,83,Dazzle,Treant Protector,2.0,1.0,3.0,0.6666666666666666
20,47,Vengeful Spirit,Viper,2.0,1.0,3.0,0.6666666666666666
46,47,Templar Assassin,Viper,2.0,1.0,3.0,0.6666666666666666
44,54,Phantom Assassin,Lifestealer,2.0,1.0,3.0,0.6666666666666666
52,93,Leshrac,Slark,2.0,1.0,3.0,0.6666666666666666
22,23,Zeus,Kunkka,8.0,4.0,12.0,0.6666666666666666
50,63,Dazzle,Weaver,4.0,2.0,6.0,0.6666666666666666
18,110,Sven,Phoenix,2.0,1.0,3.0,0.6666666666666666
46,136,Templar Assassin,Marci,2.0,1.0,3.0,0.6666666666666666
46,126,Templar Assassin,Void Spirit,2.0,1.0,3.0,0.6666666666666666
49,85,Dragon Knight,Undying,2.0,1.0,3.0,0.6666666666666666
52,83,Leshrac,Treant Protector,2.0,1.0,3.0,0.6666666666666666
22,46,Zeus,Templar Assassin,4.0,2.0,6.0,0.6666666666666666
93,112,Slark,Winter Wyvern,2.0,1.0,3.0,0.6666666666666666
68,73,Ancient Apparition,Alchemist,2.0,1.0,3.0,0.6666666666666666
19,36,Tiny,Necrophos,2.0,1.0,3.0,0.6666666666666666
51,119,Clockwerk,Dark Willow,2.0,1.0,3.0,0.6666666666666666
45,136,Pugna,Marci,2.0,1.0,3.0,0.6666666666666666
50,126,Dazzle,Void Spirit,4.0,2.0,6.0,0.6666666666666666
52,75,Leshrac,Silencer,2.0,1.0,3.0,0.6666666666666666
18,97,Sven,Magnus,2.0,1.0,3.0,0.6666666666666666
43,128,Death Prophet,Snapfire,2.0,1.0,3.0,0.6666666666666666
67,110,Spectre,Phoenix,2.0,1.0,3.0,0.6666666666666666
19,129,Tiny,Mars,2.0,1.0,3.0,0.6666666666666666
67,104,Spectre,Legion Commander,6.0,3.0,9.0,0.6666666666666666
70,87,Ursa,Disruptor,6.0,3.0,9.0,0.6666666666666666
21,56,Windranger,Clinkz,2.0,1.0,3.0,0.6666666666666666
90,126,Keeper of the Light,Void Spirit,2.0,1.0,3.0,0.6666666666666666
18,98,Sven,Timbersaw,2.0,1.0,3.0,0.6666666666666666
67,108,Spectre,Underlord,4.0,2.0,6.0,0.6666666666666666
60,74,Night Stalker,Invoker,6.0,3.0,9.0,0.6666666666666666
90,106,Keeper of the Light,Ember Spirit,2.0,1.0,3.0,0.6666666666666666
29,104,Tidehunter,Legion Commander,2.0,1.0,3.0,0.6666666666666666
62,75,Bounty Hunter,Silencer,4.0,2.0,6.0,0.6666666666666666
83,97,Treant Protector,Magnus,4.0,2.0,6.0,0.6666666666666666
35,110,Sniper,Phoenix,2.0,1.0,3.0,0.6666666666666666
35,106,Sniper,Ember Spirit,4.0,2.0,6.0,0.6666666666666666
83,100,Treant Protector,Tusk,4.0,2.0,6.0,0.6666666666666666
35,78,Sniper,Brewmaster,2.0,1.0,3.0,0.6666666666666666
35,72,Sniper,Gyrocopter,4.0,2.0,6.0,0.6666666666666666
62,63,Bounty Hunter,Weaver,4.0,2.0,6.0,0.6666666666666666
83,108,Treant Protector,Underlord,2.0,1.0,3.0,0.6666666666666666
35,51,Sniper,Clockwerk,2.0,1.0,3.0,0.6666666666666666
36,100,Necrophos,Tusk,4.0,2.0,6.0,0.6666666666666666
35,49,Sniper,Dragon Knight,4.0,2.0,6.0,0.6666666666666666
86,88,Rubick,Nyx Assassin,2.0,1.0,3.0,0.6666666666666666
29,111,Tidehunter,Oracle,2.0,1.0,3.0,0.6666666666666666
83,110,Treant Protector,Phoenix,2.0,1.0,3.0,0.6666666666666666
30,32,Witch Doctor,Riki,2.0,1.0,3.0,0.6666666666666666
34,114,Tinker,Monkey King,6.0,3.0,9.0,0.6666666666666666
57,106,Omniknight,Ember Spirit,2.0,1.0,3.0,0.6666666666666666
34,85,Tinker,Undying,4.0,2.0,6.0,0.6666666666666666
85,121,Undying,Grimstroke,2.0,1.0,3.0,0.6666666666666666
35,136,Sniper,Marci,8.0,4.0,12.0,0.6666666666666666
86,121,Rubick,Grimstroke,2.0,1.0,3.0,0.6666666666666666
29,42,Tidehunter,Wraith King,4.0,2.0,6.0,0.6666666666666666
28,136,Slardar,Marci,2.0,1.0,3.0,0.6666666666666666
36,83,Necrophos,Treant Protector,6.0,3.0,9.0,0.6666666666666666
36,74,Necrophos,Invoker,4.0,2.0,6.0,0.6666666666666666
28,51,Slardar,Clockwerk,2.0,1.0,3.0,0.6666666666666666
36,72,Necrophos,Gyrocopter,4.0,2.0,6.0,0.6666666666666666
36,67,Necrophos,Spectre,4.0,2.0,6.0,0.6666666666666666
28,62,Slardar,Bounty Hunter,4.0,2.0,6.0,0.6666666666666666
36,59,Necrophos,Huskar,2.0,1.0,3.0,0.6666666666666666
87,109,Disruptor,Terrorblade,2.0,1.0,3.0,0.6666666666666666
28,72,Slardar,Gyrocopter,2.0,1.0,3.0,0.6666666666666666
57,59,Omniknight,Huskar,2.0,1.0,3.0,0.6666666666666666
28,76,Slardar,Outworld Devourer,2.0,1.0,3.0,0.6666666666666666
36,55,Necrophos,Dark Seer,2.0,1.0,3.0,0.6666666666666666
36,52,Necrophos,Leshrac,2.0,1.0,3.0,0.6666666666666666
28,94,Slardar,Medusa,2.0,1.0,3.0,0.6666666666666666
36,45,Necrophos,Pugna,2.0,1.0,3.0,0.6666666666666666
87,91,Disruptor,Io,2.0,1.0,3.0,0.6666666666666666
62,78,Bounty Hunter,Brewmaster,2.0,1.0,3.0,0.6666666666666666
62,77,Bounty Hunter,Lycan,2.0,1.0,3.0,0.6666666666666666
28,126,Slardar,Void Spirit,4.0,2.0,6.0,0.6666666666666666
30,57,Witch Doctor,Omniknight,2.0,1.0,3.0,0.6666666666666666
30,59,Witch Doctor,Huskar,6.0,3.0,9.0,0.6666666666666666
83,123,Treant Protector,Hoodwink,4.0,2.0,6.0,0.6666666666666666
33,85,Enigma,Undying,2.0,1.0,3.0,0.6666666666666666
31,51,Lich,Clockwerk,2.0,1.0,3.0,0.6666666666666666
33,70,Enigma,Ursa,6.0,3.0,9.0,0.6666666666666666
33,59,Enigma,Huskar,2.0,1.0,3.0,0.6666666666666666
33,53,Enigma,Nature's Prophet,2.0,1.0,3.0,0.6666666666666666
60,94,Night Stalker,Medusa,2.0,1.0,3.0,0.6666666666666666
33,45,Enigma,Pugna,2.0,1.0,3.0,0.6666666666666666
59,81,Huskar,Chaos Knight,2.0,1.0,3.0,0.6666666666666666
71,107,Spirit Breaker,Earth Spirit,4.0,2.0,6.0,0.6666666666666666
32,98,Riki,Timbersaw,2.0,1.0,3.0,0.6666666666666666
59,111,Huskar,Oracle,4.0,2.0,6.0,0.6666666666666666
31,81,Lich,Chaos Knight,2.0,1.0,3.0,0.6666666666666666
31,84,Lich,Ogre Magi,6.0,3.0,9.0,0.6666666666666666
59,114,Huskar,Monkey King,4.0,2.0,6.0,0.6666666666666666
31,85,Lich,Undying,2.0,1.0,3.0,0.6666666666666666
32,87,Riki,Disruptor,2.0,1.0,3.0,0.6666666666666666
84,135,Ogre Magi,Dawnbreaker,4.0,2.0,6.0,0.6666666666666666
60,72,Night Stalker,Gyrocopter,2.0,1.0,3.0,0.6666666666666666
85,97,Undying,Magnus,2.0,1.0,3.0,0.6666666666666666
60,75,Night Stalker,Silencer,2.0,1.0,3.0,0.6666666666666666
33,84,Enigma,Ogre Magi,8.0,4.0,12.0,0.6666666666666666
50,53,Dazzle,Nature's Prophet,2.0,1.0,3.0,0.6666666666666666
30,65,Witch Doctor,Batrider,2.0,1.0,3.0,0.6666666666666666
33,94,Enigma,Medusa,6.0,3.0,9.0,0.6666666666666666
34,79,Tinker,Shadow Demon,2.0,1.0,3.0,0.6666666666666666
30,73,Witch Doctor,Alchemist,2.0,1.0,3.0,0.6666666666666666
34,76,Tinker,Outworld Devourer,2.0,1.0,3.0,0.6666666666666666
34,73,Tinker,Alchemist,4.0,2.0,6.0,0.6666666666666666
30,87,Witch Doctor,Disruptor,2.0,1.0,3.0,0.6666666666666666
34,72,Tinker,Gyrocopter,2.0,1.0,3.0,0.6666666666666666
60,136,Night Stalker,Marci,4.0,2.0,6.0,0.6666666666666666
30,99,Witch Doctor,Bristleback,10.0,5.0,15.0,0.6666666666666666
30,100,Witch Doctor,Tusk,2.0,1.0,3.0,0.6666666666666666
30,103,Witch Doctor,Elder Titan,2.0,1.0,3.0,0.6666666666666666
34,60,Tinker,Night Stalker,2.0,1.0,3.0,0.6666666666666666
85,112,Undying,Winter Wyvern,2.0,1.0,3.0,0.6666666666666666
34,54,Tinker,Lifestealer,4.0,2.0,6.0,0.6666666666666666
72,90,Gyrocopter,Keeper of the Light,4.0,2.0,6.0,0.6666666666666666
84,91,Ogre Magi,Io,4.0,2.0,6.0,0.6666666666666666
58,87,Enchantress,Disruptor,2.0,1.0,3.0,0.6666666666666666
33,98,Enigma,Timbersaw,2.0,1.0,3.0,0.6666666666666666
30,126,Witch Doctor,Void Spirit,4.0,2.0,6.0,0.6666666666666666
71,135,Spirit Breaker,Dawnbreaker,2.0,1.0,3.0,0.6666666666666666
36,99,Necrophos,Bristleback,2.0,1.0,3.0,0.6666666666666666
87,128,Disruptor,Snapfire,2.0,1.0,3.0,0.6666666666666666
22,88,Zeus,Nyx Assassin,2.0,1.0,3.0,0.6666666666666666
25,35,Lina,Sniper,6.0,3.0,9.0,0.6666666666666666
40,120,Venomancer,Pangolier,2.0,1.0,3.0,0.6666666666666666
63,121,Weaver,Grimstroke,2.0,1.0,3.0,0.6666666666666666
63,112,Weaver,Winter Wyvern,2.0,1.0,3.0,0.6666666666666666
40,108,Venomancer,Underlord,2.0,1.0,3.0,0.6666666666666666
